Reaction	In-Pathway
RXNQT-4344	PWYQT-4472
RXN-12422	PWY-6815
RXN-10905	PWY-6341
RXN-12576	
CITRULLINASE-RXN	
RXN-12948	
2.4.1.123-RXN	PWY-6525 // PWY-6524 // PWY-5337
RXN3DJ-64	PWY3DJ-35471
RXN-19546	PWY-8001 // RXN-19547
PROPIONYL-COA-CARBOXY-RXN	PWY-5789 // PWY-6728 // PWY-5743 // PWY-7384 // PROPIONMET-PWY
3.2.1.132-RXN	
RXN0-5455	
RXN-18054	
RXN-19822	PWY-8008
RXN-16563	PWY-7656
RXN2B4Q-60	PWY2B4Q-8
RXN-13458	
1.1.1.255-RXN	PWY-3861
RXN-12696	PWY-6930
RXN-14782	PWY-7332
2.3.1.99-RXN	
RXN-12377	
RXN-22953	
1.3.1.2-RXN	PWY-3982
RXN-24327	
RXN-23866	RXN-7825
RXN-13360	PWY-7042
RXN-19732	PWY-8001
RXN-23527	PWY-8402
RXN-10892	PWY-6339
RXN-13819	PWY-7139
R501-RXN	P561-PWY
RXN-8835	PWY-5645
RXN-15230	
RXN-16036	PWY-5995
RXN-17067	PWY-7718
RXN-11306	PWY-6456
COENZYME-F420-HYDROGENASE-RXN	PWY-5207
RXN-19160	
RXN-12289	
RXN-5861	PWY-3581 // PWY-6133 // PWY-5399 // MONOPHENOL-MONOOXYGENASE-RXN
RXN-16906	PWY-7693 // PWY-7694
RXN-10738	
RXN-12001	PWY-6681
RXN-11695	
RXN-17049	PWY-7713
RXN-18308	PWY-7841
RXN-16732	
RXN-20086	
RXN-9770	PWY-6044
RXN1G-1150	PWYG-321
RXN-23819	
RXN-10648	PWY-6280
RXN-13564	PWY-6845 // NITRIC-OXIDE-SYNTHASE-RXN
RXN-11722	PWY-6627
RXN-11057	PWY-6398
RXN-17942	PWY-7803
RXN-8760	
2.3.1.179-RXN	PWY-5973
RXN-12217	
RXN-8558	
RXN-2785	
RXN-14560	PWY-8231 // PWY-7290
RXN-11713	PWY-6627
4.1.1.77-RXN	2ASDEG-PWY // PWY-7009 // PWY-5654 // PWY-6210 // PWY-5647 // PWY-7480 // PWY-7006 // PWY-5419 // PWY-6336 // PWY-6214
RXN-23114	PWY-7100
DEOXYGUANPHOSPHOR-RXN	PWY-7179-1 // PWY-7179
RXN-24088	
RXN-13518	PWY-7071
RXN-9024	PWY-5941
RXN-15672	PWY-7535 // RXN-15673
RXN-8538	RXN-19785 // PWY-5422
RXN-15978	PWY-5397
RXN-14943	
RXN-20270	PWY-8035
LONG-CHAIN-FATTY-ACYL-COA-REDUCTASE-RXN	
RXN-17876	PWY-7800
RXN-15283	PWY-6585
RXN-23748	PWY-8438
PHOSCHOL-RXN	PWY-3561 // LIPASYN-PWY // PWY-7039
RXN66-565	PWY-7861 // PWY66-425
RXN-12234	PWY-6749
RXN-20891	
RXN-15646	PWY-7523
RXN-13383	PWY-7045
RXN-8667	
KDGALDOL-RXN	GLUCARDEG-PWY // GALACTARDEG-PWY
RXN-13501	RXN-13508 // PWY-7068
RXN-24406	
RXN-16879	PWY-7690
RXN-9855	PWY-6084
RXN-9495	PWY-5956
RXN-18070	PWY-7821
RXN-18760	PWY-7901
RXN-2122	
RXN-17141	
RXN-19604	PWY-8301
RXN-14869	PWY-7363
RXN-23868	RXN-19128
GLUTCYSLIG-RXN	PWY-7255 // PWY-6840 // GLUTATHIONESYN-PWY
RXN-17709	PWY-6660 // PWY-6661 // RXN-17710
RXN-12649	RXN-13400 // PWY-6919 // PWY-6915
RXN-9653	PWY66-430
RXN-17776	PWY0-1337
RXN-12073	PWY-6690
SUCCINYL-COA-HYDROLASE-RXN	
RXN-11026	PWY-7007 // PWY-7288 // PWY66-391 // PWY-5136
RXN-9723	PWY-6035
RXN-12313	PWY-6200
RXN-15910	PWY-842
RXN18C3-39	PWY18C3-10
2.7.7.57-RXN	PWY4FS-3
RXN-8573	
RXN-17254	PWY-7738
RXN-20204	PWY-8032
2.3.1.114-RXN	
RXN-16366	PWY-7632
RXN-9874	PWY-6088
RXN-11534	PWY-2582
RXN-10085	PWY-6185
RXN-8309	PWY-782
RXN-12528	PWY-6841
1.10.1.1-RXN	
RXN-9881	
RXN0-5304	RIBOKIN-PWY
RXN66-635	PWY-5994
RXN-11724	PWY-6627
RXN0-2441	
RXN-20458	
RXN-19491	
RXN-23013	PWY-8355
RXN8J2-136	PWY8J2-22
RXN0-2145	PWY-7858 // PWY0-862
RXN-21323	PWY-8133
RXN-19205	RXN-19197
RXN-15662	PWY-7531
GLYOCARBOLIG-RXN	GLYCOLATEMET-PWY
RXN-12918	PWY-7106
RXN-3661	PWY-5640
RXN-12397	
RXN-13319	PWY-7008 // PWY5F9-12
RXN-15492	PWY-7491
RXN66-359	PWY66-382
ALLENE-OXIDE-CYCLASE-RXN	PWY-735
BRANCHED-CHAINAMINOTRANSFERILEU-RXN	PWY-8184 // PWY-8173 // PWY-5108 // ILEUSYN-PWY // ILEUDEG-PWY // PWY-5101 // PWY-5104 // PWY-5103 // PWY-5078
RXN-16731	
MALEYLACETATE-REDUCTASE-RXN	PWY-8487 // PWY-6178 // PWY-7982 // PWY-5488 // PWY-6093 // PWY-6094 // PWY-7002 // PCPDEG-PWY // PWY-6084 // 14DICHLORBENZDEG-PWY // PWY-7773 // P343-PWY // PWY-7772 // PWY-6087 // PWY-7081 // PWY-6200 // PWY-6193 // GAMMAHEXCHLORDEG-PWY // PWY-6107 // PWY-6089 // PWY-6041 // PWY-5487
RXN-13779	PWY-7237
RXN-11232	
RXN-18300	PWY-7838
GALLATE-DIOXYGENASE-RXN	GALLATE-DEGRADATION-II-PWY
RXN-21991	PWY-2201
RXN-24230	PWY-8482
RXN66-348	RXN-14744 // PWY-7306
METHIONINE-RACEMASE-RXN	
RXN-8126	RXN-13229 // PWY-5260 // PWY-5259 // PWY-5258
RXN-21176	PWY-6682
RXN-10745	
RXN-8664	
RXN-14615	RXN-14616
RXN-20962	PWY-6032
RXN-14272	PWY-7656 // PWY-7654
RXN-20974	
1.14.13.84-RXN	
3.2.1.21-RXN	
RXN-9859	PWY-6083
RXN-23516	PWY-8399
RXN-9674	PWY-7092 // PWY-6002
2.7.1.153-RXN	PWY-6352
RXN-16015	PWY-7582
HOMOSERINE-O-ACETYLTRANSFERASE-RXN	PWY-5344
RXN-13095	PWY-6997
RXN-20749	
RXN-13297	PWY-7036
RXN-22423	PWY2B4Q-3
N-SULFOGLUCOSAMINE-SULFOHYDROLASE-RXN	PWY-7651 // PWY-7644
RXN-10796	PWY-6314
RXN-10737	PWY-8101
RXN-3641	PWY-8354 // PWY-8347 // PWY-1361 // PWY0-321 // PWY-2361
RXN-9346	
RXN-18002	
RXN-19687	PWY-5774
PROTEIN-TYROSINE-SULFOTRANSFERASE-RXN	
RXN-23668	PWY-8431 // PWY-8432
RXN-10664	PWY3O-1801 // PWY-5987
RXN-23797	PWY-8443 // RXN-23807
RXN-21777	PWY-8181
RXN1G-808	PWYG-321
LEUKOTRIENE-E4-20-MONOOXYGENASE-RXN	
RXN-10912	PWY-6342
RXN-16630	PWY-7663
2.4.1.39-RXN	
ASPAMINOTRANS-RXN	PWY-7383 // TCA-1 // PWY-7117 // PWY-7115 // ASPARTATE-DEG1-PWY // ASPARTATESYN-PWY // GLUTDEG-PWY // MALATE-ASPARTATE-SHUTTLE-PWY
OLIGOGALACTURONIDE-LYASE-RXN	
RXN-8954	PWY-5740 // RXN-17514
RXN-8983	PWY-5748
RXN-11084	PWY-6401
RXN-20658	
RXN-8009	PWY-5161
RXN-22143	PWY-8224
GSHTRAN-RXN	PWY-6842 // PWY-4061
RXN-21632	PWY-8173
RXN-9003	PWY3O-19
RXN-9627	PWY-6733
RXN-8038	
RXN-24362	PWY-8495
HISTONE-ACETYLTRANSFERASE-RXN	
RXN-9145	
RXN-22230	PWY-8287
RXN-22109	PWY-8214
RXN-18309	PWY-7839
2.3.1.159-RXN	PWY-5958
RXN-20284	PWY-8036
RXN-8885	PWY-5672
RXN-15308	PWY-6978
RXN-18167	PWY-6345 // PWY-7040 // PWY-6346
RXN-22635	PWY-8317
RXN-9344	PWY-7782 // PWY-5884
RXN-9105	PWY-5802
RXN-20730	PWY-7512
RXN-14006	PWY-7174
RXN-13373	
RXN-20181	
RXN-24057	
SULFATE-ADENYLYLTRANS-RXN	DISSULFRED-PWY // PWY-5278 // PWY1ZNC-1 // PWY-6683 // SULFMETII-PWY // PWY-5340
RXN-8179	PWY-5287
RXN-21289	PWY-8127 // RXN-21287
RXN-12943	PWY-7657 // PWY-6973 // PWY-6974 // RXN-16567 // PWY-6808 // PWY-7104 // PWY-7440
RXN1ZN3-9	DETHIOBIOTIN-SYN-RXN
RXN-19040	PWY-7927
RXN-9618	PWY-5987
RXN-14188	PWY-7206
2.7.1.121-RXN	GLYCEROLMETAB-PWY
D-LACTATE-2-SULFATASE-RXN	
RXN-15781	PWY-7547
RXN-7227	PWY-4681
RXN-16881	PWY-7691
RXN-9389	
RXN-15529	PWY-7325
RXN-13511	PWY-7071
RXN-14519	PWY-7286
RXN-13023	RXNQT-4310
RXN-9310	PWY-5837
IMIDAZOLE-N-ACETYLTRANSFERASE-RXN	
RXN1G-509	PWYG-321
MANNURONATE-REDUCTASE-RXN	
RXN-7946	PWY-5174
RXN-14843	
RXN-21416	
RXN-19324	PWY-7968
RXN-15326	PWY-7678 // PWY-7679 // PWY-7450
CYSTEINE--TRNA-LIGASE-RXN	TRNA-CHARGING-PWY
RXN0-5222	PWY-5704 // CITRULLINASE-RXN // PWY0-1471 // PWY-5703 // PWY-5169 // PWY-8025 // ALLOPHANATE-HYDROLASE-RXN // CYANCAT-PWY // RXN-12895 // RXN-12894 // RXN-12893
RXN-18684	PWY185E-6 // PWY-7885
RXN0-7012	PWY0-1545
RXN-10830	PWY-7769 // PWY-6322
2.4.1.83-RXN	MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS // PWY-7921 // PWY-7979 // PWY-7922
RXN-22413	
RXN-20552	PWY-8053
1.1.3.40-RXN	
RXN-6684	PWY-6949
RXN-19620	PWY-8384
RXN-19188	PWY-7948 // RXN-19191
RXN-20218	
RXN-15581	PWY0-1535 // DSERDEAM-RXN
RXN-17571	PWY-7775 // PWY-7774
RXN-11516	PWY-6538
RXN-23071	PWY-5140
RXN-19744	RXN-21005 // PWY-8003
RXN-9481	PWY-5954
RXN-9913	PWY-6107
RXN-14126	
RXN-24215	
RXN-22817	
RXN-22365	PWY-8264
RXN-18692	PWY-7887
2.1.1.121-RXN	PWY-7363
RXN-23695	PWY-8434
RXN-8055	PWY-5195
RXN-17190	PWY-6495 // RXN-11399 // RXN-23940 // ALANINE--TRNA-LIGASE-RXN // PWY-8117 // PWY-8381 // RXN-23283 // RXN-21145 // PWY-7907 // RXN-19481 // RXN-19480 // RXN-19479 // PWY-7769 // PWY-6322
GLUTARATE--COA-LIGASE-RXN	
RXN-23016	PWY-8355
RXN-22713	PABASYN-RXN
RXN-18857	
RXN-13894	PWY-7155
RXN-18092	
RXN-19761	PWY-8006
RXN-22666	PWY-8320
RXN-22896	
RXN-9419	PWY-5927
3.5.1.72-RXN	
RXN-13964	
1.1.1.34-RXN	PWY-8125 // PWY-7524 // PWY-922 // PWY-7391 // PWY-6174
RXN-18467	
RXN-20209	PWY-8033
RXN-18660	PWY-7883
RXN-14832	
RXN-14561	PWY-8231 // PWY-7290
RXN-15335	PWY-7452
RXN-9521	PWY66-430 // PWY-7388 // PWY-8279
1.5.1.27-RXN	PWY-5270
RXN-21053	
RXN-17533	PWY-7770
RXN-16972	PWY-7703
RXN1G-3613	PWYG-321
RXN-16938	
RXN-14696	PWY-7847
RXN-20908	PWY-8081 // RXN-20853
RXN-23677	
RXN66-484	
RXN-11151	PWY-6415 // PWY-8143 // PWY-6491
RXN-24202	PWY-8476
RXN-21511	
RXN-10049	
RXN1G-132	PWYG-321
RXN-4308	PWY-2681
RXN-24043	NONMEVIPP-PWY
RXN-9285	PWY-5872
RXN-18106	RXN-15434
RXN-16910	PWY-7693 // RXN-13202
RXN-22964	
RXN-21214	PWY-6955
CDPREDUCT-RXN	PWY-7198 // PWY-7210 // PWY-7184 // PWY-6545 // PWY0-166
RXN-19757	
RXN-8830	
MRNA-GUANYLYLTRANSFERASE-RXN	PWY-7375
RXN-16324	PWY-6566
RXN-8222	PWY-5301
TRANS-PENTAPRENYLTRANSFERASE-RXN	HEXPPSYN-PWY
GLYRIBONUCSYN-RXN	PWY-6121 // PWY-6277 // PWY-6122
RXN-10654	PWY-6282
RXN-8563	
RXN-9623	PWY-8279 // PWY-5972 // PWY3DJ-11470 // PWY-7119 // PWY-5971
THMPT-SER-RXN	
RXN-20980	PWY-6036
CYCLOHEXANONE-DEHYDROGENASE-RXN	
RXN-13948	PWY-7168
RXN-14563	PWY-7290
RXN-18637	PWY-7880
RXN-15058	PWY-7415
RXN-8383	PWY-5365
RXN-17525	
RXN-24396	RXN-24388
RXN-9838	
RXN-19766	
RXN-9232	PWY-5857
RXN1G-1529	PWYG-321
RXN66-105	PWY66-201 // PWY66-221
RXN-11727	PWY-6634
RXN-8962	PWY-6540 // RXN-19749
RXN-18071	PWY-7821
RXN-14477	RXN0-1661
RXN-14101	
RXN-15990	PWY-7579
RXN-24533	
RXN-18863	
RXN-11789	PWY-6655
RXN-15373	PWY-7464
RXN-13524	PWY-5748
RXN-21106	PWY-8117 // RXN-21145
RXN-17665	
RXN-18743	
R247-RXN	P282-PWY
2.7.7.46-RXN	
RXN-7792	PWY3DJ-12 // PWY-5129
2.4.1.151-RXN	PWY-7434
RXN-22139	PWY-8222
GDP-MANNOSE-6-DEHYDROGENASE-RXN	PWY-6082 // PWY-6073
RXN-13843	PWY-7151
D-LYXOSE-KETOL-ISOMERASE-RXN	
RXN-21786	PWY-8181
RXN-23274	
RXN-8389	PWY-5366
RXN-9290	PWY-7477
RXN-10976	
RXN-21325	PWY-8133
RXN-16279	
METHYLMALONYL-COA-EPIM-RXN	PWY-8086 // PWY-5789 // P108-PWY // PWY-6728 // PWY-5743 // PWY-7384 // PROPIONMET-PWY
RXN-10459	PWY-6233 // PWY-6220
RXN-9535	PWY-8279 // PWY-5971
RXN-9662	PWYG-321 // PWY-5971
ALPHA-PINENE-OXIDE-DECYCLASE-RXN	
RXN-17866	
2ASDOSALCAL-RXN	2ASDEG-PWY
RXN-16484	PWY-7644
RXN-18290	
3.1.4.38-RXN	
RXN-14564	RXN-18666 // PWY-7289
RXN-24415	RXN-24414 // PWY-8502
2.3.1.156-RXN	PWY-5808 // PWY-5132
1.14.13.71-RXN	PWY-3581
RXN-22531	RXN-22528
RXN-11224	
PHENYLALANINE-DEHYDROGENASE-RXN	
3.2.1.103-RXN	
RXN-11741	PWY-6640
RXN-22195	
4OHBENZOATE-OCTAPRENYLTRANSFER-RXN	PWY-6708 // PWY-5870
RXN-13939	3.1.1.82-RXN
RXN-19888	PWY-8016
2.4.99.8-RXN	
RXN-22159	PWY-8229
RXN-23803	PWY-8443 // RXN-23807
2.4.1.40-RXN	
RXN-13034	
RXN-23364	PWY-8117 // RXN-23365
RXN-24195	PWY-8476
RXN0-1863	PWY0-1338
RXN-17181	PWY-7739
2.1.1.126-RXN	
RXN-13185	
RXN-13597	
RXN-17064	
3.5.2.12-RXN	P621-PWY
RXN-22402	
F16ALDOLASE-RXN	PWY-7385 // PWY-6142 // GLYCOLYSIS // SUCSYN-PWY // ANAGLYCOLYSIS-PWY // PWY-5484 // P341-PWY // GLUCONEO-PWY // PWY66-399 // CALVIN-PWY // P185-PWY // PWY-1861 // PWY-1042
RXN-24275	
RXN-14695	PWY-7485 // PWY-7483
RXN-22585	PWY-8314
RXN-12814	
RXN-17493	
RXN-22798	RXN-22794
RXN-20675	PWY0-1337
RXN-19516	PWY-7989
RXN-13942	PWY-7166
RXN-14761	PWY-7330
RXN18C3-113	
RXN-11133	PWY-6411 // RXN-14617 // RXN-14599
RXN-22173	PWY-8234
ALARACECAT-RXN	PWY-8443 // PWY-7383 // PWY-8040 // PWY-8072 // ALADEG-PWY
RXN-22197	
RXN-18597	PWY-7872
RXN-15668	PWY-7532
RXN-19509	PWY-7988
RXN-8684	PWY-5466
RXN-16758	LYSINE-AMINOAD-PWY // RXN-16756
RXN-17161	PWY-7736
RXN-15655	PWY-7529
RXN-15284	
MANNITOL-1-PHOSPHATASE-RXN	PWY-3881 // PWY-6531
RXN-1727	PWY-762
RXN-21119	PWY-8117
RXN-22138	PWY-8222
RXN-19840	CAMALEXIN-SYN // PWY-8024 // RXN-20041 // RXN-19835
RXN-21588	
RXN-23256	
RXN-16663	PWY-7690
RXN-12970	
RXN-8530	PWY-5421
RXN66-511	PWY-8400 // PWY-8355 // PWY66-397
RXN-12394	PWY-6806
RXN-17862	PWY-7800
RXN-11374	RXN-14326
RXN-13675	PWY-7112
RXN-19583	
RXN-12197	PWY-7185 // RXN-12199
RXN-10685	PWY-6294
RXN-20597	
RXN-14476	
RXN-19104	PWY-7929
RXN-11262	PWY-6442
RXN-12359	PWY66-429 // PWY-6799
RXN-13926	
RXN-9450	PWY-5929
RXN-9867	PWY-6193 // PWY-6089
RXN0-1382	PWY-6695
RXN-12224	
RXN-7628	PWY-5048
1.14.21.2-RXN	PWY-8030 // PWY-5287
RXN66-354	PWY-8200 // PWY-7299
RXN-18198	PWY-1186
RXN-14291	PWY-7230
RXN-12570	PWY-6863 // PWY0-1337
RXN-17880	PWY-7798
RXN-9626	
GSCYSDEG-RXN	
RXN-12181	PWY-6731 // PWY-6735
RXN0-5118	PWY1R65-1 // LIPA-CORESYN-PWY
THIOREDOXIN-RXN	THIOREDOX-PWY
RXN-10919	PWY-7461
RXN1F-72	
RXN-11982	PWY-6679
RXN-12348	PWY-6795
RXN-12847	PWY-7251
RXN-22056	PWY-6309
1.6.5.6-RXN	PWY-5487
RXN-12314	PWY-5195 // RXN-13432
RXN-22072	PWY-8209
RXN-17285	PWY-7745
RXN-17508	RXN-17509
RXN-20464	PWY-8047
RXN-22023	
3.2.1.55-RXN	
RXN-20445	PWY-7154
RXN-527	PWY-3101 // PWY-6787 // PWY-5390
RXN-22334	PWY-4202 // RXN-22403 // PWY-4621 // PWY-8266 // RXN-21028 // 2.1.1.137-RXN
RXN-12045	PWY-6688
RXN-16828	PWY-7687
RXN-14919	PWY-7436
R581-RXN	P641-PWY
RXN-19695	PWY-5672
RXN-13281	PWY-7033
RXN-15295	
RXN-8479	PWY-5399
H2PTEROATESYNTH-RXN	PWY2DNV-11 // PWY-6614
3.2.1.92-RXN	
RXN-15464	PWY-7489
RXN-18662	
RXN-23848	
PYROGLUTAMYL-PEPTIDASE-I-RXN	PWY-7942
RXN-17851	PWY-7799 // PWY-7800
RXN-7587	HISHP-PWY
RXN-17216	PWY-7741 // RXN-18545
RXN-20612	RXN-20618
RXN-172	PWY-102
RXN-9431	PWY-5927
R526-RXN	PWY-5370
RXN-22465	
RXN-3585	PWY-2343
RXN-10843	PWY-6324
RXN-12713	
RXN-24002	PWY-8461
RXN-11348	PWY-6470
RXN-11381	PWY-6491
RXN-12432	PWY-6818
RXN-9454	PWY18C3-18
RXN-18362	PWY-8487 // PWY-6178 // PWY-6093 // PWY-6094 // PCPDEG-PWY // PWY-6084 // 14DICHLORBENZDEG-PWY
RXN-19921	
MOXXANAU-RXN	12DICHLORETHDEG-PWY
RXN0-7024	PWY0-41
1.1.1.99-RXN	
RXN-19314	PWY-7963
RXN-9486	PWY-5955
RXN-15980	PWY-5397 // RXN-8469
RXN-14862	
2.5.1.69-RXN	
GLYCOSYLCERAMIDASE-RXN	
RXN-14774	PWY-7337
ENTDB-RXN	ENTBACSYN-PWY
RXN-16694	PWY-7669
RXN-15971	PWY-6722
RXN-20452	PWY-8045 // PWY-7693
RXN-11122	PWY-6408
RXN-20109	
RXN-9061	PWY-6425 // PWY-5775
GLU6PDEHYDROG-RXN	PWY-8004 // GLYCOLYSIS-E-D // RUMP-PWY // P122-PWY // OXIDATIVEPENT-PWY // PWY-7268
RXN-10947	PWY-6368
GLUTATHIONE-THIOESTERASE-RXN	
RXN-5444	PWY-3162
2.1.1.131-RXN	PWY-7376
RXN-17054	PWY-7713
RXN-21459	PWY-8151
RXN4FS-8	PWY4FS-11
RXN-9748	PWY-6051
RXN-8616	PWY-5434
RXN-20062	PWY-5169 // PWY-8025
RXN-9463	PWY-5936
RXN-23175	
RXN-23207	PWY-8374
2.4.1.111-RXN	PWY-116
RXN-11003	PWY-6377
RXN-9281	PWY-5871
RXN-11128	PWY-6409 // PWY-7571
CATAL-RXN	DETOX1-PWY-1 // DETOX1-PWY // PWY-5506
RXN-24326	
METHCOCLTH-RXN	PWY-8480 // CODH-PWY
RXN-21854	PWY-8198
RXN-8536	RXN-19785 // PWY-5422
RXN-15232	PWY-7439
RXN-9646	
RXN-17252	PWY-6927 // PWY-5098 // RXN-7740
RXN-9224	PWY-5855
RXN-18839	PWY-7913
RXN-11369	PWY-6481
RXN-19143	
R163-RXN	
RXN-20375	PWY-7035
INOPHOSPHOR-RXN	PWY0-1296 // SALVADEHYPOX-PWY // PWY-6609
R141-RXN	P161-PWY
KDOTRANS2-RXN	KDOSYN-PWY
RXN-15841	
RXN1A0-6297	PWY-6312 // PWY1A0-6325
RXN-16914	PWY-8426 // PWY-7694
3.4.21.5-RXN	PWY66-432
RXN-7966	
DARABALDOL-RXN	PWY-8440 // DARABCATK12-PWY
RXN-12949	
RXN-22806	
RXN-15960	PWY-7572
RXN-9585	PWY-5979
ESTRADIOL-6-BETA-MONOOXYGENASE-RXN	
RXN-18446	PWY-5132
RXN-13873	NADNUCLEOSID-RXN
1.3.99.17-RXN	
RXN-10952	PWY-6363
RXN-16041	PWY-6958
MANNPDEHYDROG-RXN	PWY-6531 // MANNIDEG-PWY
RXN-21527	OHMETHYLBILANESYN-RXN
RXNQT-4142	PWY-882
RXN-14670	PWY-7303
RXN-10924	PWY-6345 // PWY-6346
FARNESOL-DEHYDROGENASE-RXN	PWY-6650 // PWY-6575 // PWY-6577
RXN0-7103	
RXN-18423	RXN-18422
OROTPDECARB-RXN	PWY-7790 // PWY-7791 // PWY-5686
3-KETOGLUCOSIDASE-RXN	SUCROSEUTIL2-PWY
RXN-16458	
RXN66-167	PWY66-221
RXN-19640	PWY-6888
RXN-8455	PWY-1901
RXN0-6981	PWY0-1546
RXN-15061	PWY-7415
RXN-13426	PWY-7049
RXN-21668	PWY-8174
1.10.3.7-RXN	PWY-7080
ORNCARBAMTRANSFER-RXN	CITRULLINE-DEG-PWY // PWY2PN3-13 // ARGSYNBSUB-PWY // PWY-6344 // PWY-7400 // PWY-8187 // ARGSYN-PWY // CITRULBIO-PWY // PWY-4984
RXN-13042	PWY-6989
KDOTRANS-RXN	KDOSYN-PWY // PWY-7675
RXN-11749	
1.14.13.104-RXN	PWY-3061
RXN-22587	PWY-8314
RXN-16456	RXN-21601 // PWY-7639
RXN-14513	
R221-RXN	P221-PWY
RXN-13234	PWY-7025
RXN1F-167	PWY-5035
RXN-19411	PWY-7982
RXN-13323	
RXN66-504	PWY66-395
RXN-17489	
RXN-19576	PWYQT-4477
RXN-13208	PWY-7018
RXN-23542	PWY-8407
H2NEOPTERINP3PYROPHOSPHOHYDRO-RXN	PWY-6147
RXN-10130	PWY-6199
GLUCOSAMINE-KINASE-RXN	PWY-6906
RXN-18957	RXN-8184
RXN-10886	
THIAMIN-PYROPHOSPHOKINASE-RXN	PWY-6907 // PWY-7356 // PWY-6908 // PWY-6898
RXN-15801	PWY-7550
RXN-22784	RXN-22783
RXN-21769	PWY-8182
RXN-2464	GALLATE-DEGRADATION-I-PWY // GALLATE-DEGRADATION-II-PWY // METHYLGALLATE-DEGRADATION-PWY // P184-PWY
RXN-7746	PWY-5103
RXN-14169	
RXN-21526	OHMETHYLBILANESYN-RXN
RXN-12233	PWY-6749
RXN-22916	PWY-8343
RXN-9034	
RXN-22154	PWY-8229
RXN-13203	PWY-7015
RXN-10945	PWY-6366
RXN-16068	PWY-7593
RXN-21662	PWY-8174
XANTHINE-OXIDASE-RXN	PWY-6999 // PWY-6538
RXN-12706	PWY-6946 // PWY-6945 // PWY-6948
RXN-24481	
RXN-12257	
OCTADECANAL-DECARBONYLASE-RXN	PWY-6622
RXN-20931	PWY-8093
GUANIDINOBUTYRASE-RXN	PWY-7523 // PWY-5742 // ARGDEG-IV-PWY // ARGDEG-V-PWY
RXN-8489	PWY-5404
1.2.1.61-RXN	PWY-7002 // PWY-5487
RXN-24204	
RXN-24382	PWY-8498
RXN-13533	PWY-7072
RXN-22340	PWY-8259
MANNITOL-2-DEHYDROGENASE-RXN	PWY-6531
RXN-13805	
RXN-23823	RXN-17197 // RXN-10839 // RXN-17199 // RXN-9010 // RXN-13235
RXN-19388	
RXN-20316	PWY-8039
RXN-18261	
RXN-9839	PWY-6082 // PWY-6073
MACROLIDE-2-KINASE-RXN	
RXN-19438	PWY-7986 // PWY-7984 // PWY-7983
RXNQT-4348	PWYQT-4450
RXN-13178	
RXN3O-117	
RXN-14300	
RXN-9889	PWY-6094
RXN-8836	PWY-5645
RXN-13102	PWY-6996
RXN-24338	PWY-8492
RXN-19994	PWY-5301
RXNI-2	PWY66-368 // REDCITCYC
RXN-18504	RXN-18564 // PWY-7863
1.5.1.15-RXN	PWY-8480 // PWY-2201
RXN-20206	PWY-8033 // RXN-20241
RXN-21130	PWY-8117
4.1.1.51-RXN	PWY-5499
RXN-20231	
RXN2OBG-12	PWY-7198
RXN-19090	PWY-7936
RXN-15899	PWY-7563
RXN-20866	PWY-8081
RXN-9632	PWYG-321 // PWY-8280 // PWY-5989
RXN-20264	PWY-8035
RXN-23455	
RXN-11345	PWY-6470
3.2.1.121-RXN	
ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	DAPLYSINESYN-PWY // PWY-8296 // PWY-6559 // PWY-7977 // PWY-8179 // HOMOSERSYN-PWY // PWY-8088 // PWY-6160 // PWY-7153 // PWY-5097 // PWY-2942 // PWY-2941 // PWY-6562 // P101-PWY
RXN-19050	
RXN-8451	PWY-7160 // PWY-7498 // PWY-5391
RXN-18425	RXN-18422
RXN-10016	PWY-6154
RXN-19274	
RXN-17398	PWY-7754
RXN-23211	
BENZOYLFORMATE-DECARBOXYLASE-RXN	PWY-8161 // PWY-1501
R302-RXN	PWY-6142 // P341-PWY
GLUTRNAREDUCT-RXN	PWY-5188
RXN-14558	PWY-8211
5-OXOPROLINASE-ATP-HYDROLYSING-RXN	PWY-7942 // PWY-4041
RXN1F-99	PWY-5070
RXN-11532	PWY-2582
RXN-18024	RXN-18025
RXN-14676	PWY-7300
RXN-17479	PWY-7762
CEPHALOSPORIN-C-DEACETYLASE-RXN	
MYO-INOSITOL-3-O-METHYLTRANSFERASE-RXN	PWY-8078
RXN-17590	PWY-7776
RXN-18022	RXN-18023 // PWY-7557
UDP-GLUCOSAMINE-EPIMERASE-RXN	
DAPASYN-RXN	PWY0-1507
RXN-19900	
RXN-14819	
RXN-13293	PWY-5885
RXN-12931	PWY-6973
R262-RXN	P302-PWY
RXN-21017	
RXN-8125	PWY-5258
RXN-11290	
RXN-24017	PWY-6310
RXN-23605	
3-DEHYDROQUINATE-DEHYDRATASE-RXN	PWY-6707 // PWY-6163 // PWY-6416 // QUINATEDEG-PWY
2.6.1.63-RXN	RXN-21998
RXN-24248	RXN-24251
RXN-17371	
RXN-12088	
RXN-23528	PWY-8402
RXN-4465	PWY-2724
