Pathways	Reactions of pathway
MANNCAT-PWY	TRANS-RXN-165 // MANNPISOM-RXN
PWY-7703	RXN-16974 // RXN-16973 // RXN-16972 // RXN-16971 // RXN-16970 // RXN-16968 // RXN-16967
PWY-6219	RXN-9083 // RXN-9084 // RXN-2946 // RXN-2944 // RXN-2947 // RXN-2945 // RXN-2948
PWY-6646	RXN-11761
PWY-5064	RXN-5286 // RXN-7666 // RXN-7665 // RXN-7663 // RXN-7664
PWY-8295	RXN-22527 // RXN-22528
PWY-7188	RXN-14079 // RXN-14082 // RXN-14081 // RXN-14078 // RXN-14077
PWY-7722	RXN-17101 // RXN-17098 // RXN-17097 // RXN-17096 // RXN-17095
PWY-2161B	RXN-3741
PWY-8147	TRANS-RXN-403 // RXN-21426 // RXN-21425 // RXN-21424 // RXN-21423 // RXN-21422 // RXN-21421 // RXN-20161 // RXN-21410 // RXN-21407 // RXN-21408
PWY-5308	SULFITE-DEHYDROGENASE-RXN // RXN-23217 // RXN-23218 // SULFATE-ADENYLYLTRANS-RXN // RXN-8202 // R164-RXN
PWY-7316	DTDPGLUCDEHYDRAT-RXN // DTDPGLUCOSEPP-RXN // RXN-13755 // 2.6.1.33-RXN
PWY-6840	HOMOGLUTATHIONE-SYNTHASE-RXN // GLUTCYSLIG-RXN
PWY-7869	RXN-18555 // RXN-18556 // RXN-18557 // RXN-18558
PWY-8044	RXN-20430 // RXN-20423 // RXN-20422 // RXN-20421 // RXN-20420 // RXN-20419 // RXN-20418 // RXN-20417 // RXN-20416
GALACTUROCAT-PWY	KDPGALDOL-RXN // GALACTUROISOM-RXN // ALTRO-OXIDOREDUCT-RXN // DEOXYGLUCONOKIN-RXN // ALTRODEHYDRAT-RXN
PWY-5968	CINNAMATE-GLUCOSYLTRANSFERASE-RXN
PWY-7761	NAD-SYNTH-NH3-RXN // NAD-SYNTH-GLN-RXN // NADPYROPHOSPHAT-RXN // NMNAMIDOHYDRO-RXN // NICONUCADENYLYLTRAN-RXN
PWY0-1264	RXN0-5055 // BIOTIN-CARBOXYL-RXN // RXN-7101 // BIOTINLIG-RXN
PWY-7767	RXN-16245 // RXN-16247 // RXN-17524 // RXN-16246 // BRANCHED-CHAINAMINOTRANSFERLEU-RXN
PWY-6007	RXN-19692 // RXN-9684
PWY-6402	RXN-11073 // RXN-11071 // RXN-11069 // RXN-11068 // RXN-11067 // RXN-11066 // RXN-11058 // RXN-11056 // RXN-11060 // RXN-11059 // RXN-11057
PWY-7433	2.4.1.41-RXN // 2.4.1.146-RXN // 2.4.1.102-RXN // 2.4.99.4-RXN // 2.4.1.122-RXN
PWY-5531	RXN-17485 // HEMN-RXN // RXN0-6259 // RXN-8799 // RXN-8797 // RXN-8798 // RXN-MG-PROTOPORPHYRIN-METHYLESTER-SYN // RXN1F-20 // UROGENDECARBOX-RXN
PWY-8498	RXN-24384 // RXN-24382 // RXN-24383 // RXN-24381 // RXN-24380 // RXN-24379 // RXN-24378 // RXN-24377 // RXN-24376 // RXN-24375 // RXN-24374
PWY185E-1	RXN185E-16 // RXN185E-15 // ACYLACPSYNTH-RXN // RXN-22682 // 1.14.13.59-RXN // RXN185E-11 // RXN-19444 // RXN185E-13 // RXN185E-12 // RXN-19453 // RXN185E-14
PWY-6852	1.14.13.101-RXN
PWY-6661	RXN-17709 // RXN-17704 // RXN-17702 // AMINOBENZCOALIG-RXN // ANTHRANSYN-RXN
GLYCLEAV-PWY	RXN-8629 // GCVT-RXN // GCVP-RXN
PWY-8320	RXN-22664 // RXN-22666 // RXN-22665 // RXN-22659 // RXN-22658 // RXN-22663 // RXN-22660
PWY-7557	RXN-18022 // RXN-15822 // RXN-15823 // RXN-15818 // RXN-15819 // RXN-15821 // RXN-15820
PWY-8358	MALONYL-COA-DECARBOXYLASE-RXN // RXN-23055 // RXN-23054 // RXN-23053 // RXN-23052 // RXN-23051 // RXN-23050 // RXN-23049 // RXN-23048 // RXN-23047 // RXN-19464 // RXN-23045 // RXN-23044 // RXN-23043 // RXN-23042 // RXN-23041 // RXN-23040 // RXN-23039 // RXN-23038 // RXN-23037 // RXN-23036 // RXN-23035
PWY-8341	RXN-22911 // RXN-13327 // RXN-22910
PWY-7216	RXN-14251 // RXN-14255 // RXN-11662 // ACETYL-COA-ACETYLTRANSFER-RXN // RXN-5901
IDNCAT-PWY	1.1.1.264-RXN // GLUCONOKIN-RXN // GLUCONATE-5-DEHYDROGENASE-RXN
PWY-6817	RXN-12428 // 3.2.1.162-RXN
PHENYLALANINE-DEG1-PWY	RXN66-569
PWY-6039	4-COUMARATE--COA-LIGASE-RXN // 1.14.13.36-RXN // CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN // RXN-2622 // RXN-2601 // RXN-2621 // RXN-2581 // 2.3.1.133-RXN
PWY-6888	RXN-19948 // RXN-19640 // RXN-12656 // RXN-12657 // RXN-8429 // RXN-11903 // RXN-12608 // RXN-12607 // RXN-12606 // RXN-12605
PWY-6164	DAHPSYN-RXN // 3-DEHYDROQUINATE-SYNTHASE-RXN
PYRIDOXSYN-PWY	RXN-13179 // PSERTRANSAMPYR-RXN // ERYTHRON4PDEHYDROG-RXN // PDXJ-RXN // DXS-RXN // ERYTH4PDEHYDROG-RXN // PNPOXI-RXN
PWY4FS-6	RXN-5641 // ETHANOLAMINEPHOSPHOTRANSFERASE-RXN // 2.7.7.14-RXN // ETHANOLAMINE-KINASE-RXN
PWY-5882	RXN-9312 // RXN-12954 // RXN-11264 // RXN-9335 // RXN-9334
PWY-6926	RXN-20923 // RXN-20922 // RXN-20921 // RXN-12678 // RXN-12677 // RXN-12676 // 2.5.1.67-RXN
PWY-8171	RXN-21563 // ABC-19-RXN // RXN-8344
PWY-8165	RXN-21561 // RXN-21560
PWY-7867	RXN-18521
XYLCAT-PWY	XYLISOM-RXN // XYLULOKIN-RXN
PWY-6809	RXN-8074 // RXN1F-155
PWY-5651	RXN-8665 // 1.13.11.6-RXN // 3-HYDROXY-KYNURENINASE-RXN // KYNURENINE-3-MONOOXYGENASE-RXN // ARYLFORMAMIDASE-RXN
PWY-5331	HYPOTAURINE-DEHYDROGENASE-RXN // SULFINOALANINE-DECARBOXYLASE-RXN // CYSTEINE-DIOXYGENASE-RXN
PWY-8424	RXN-13654 // RXN-23628 // RXN-23620 // RXN-23619 // RXN-23618 // RXN-23627 // RXN-23626 // RXN-23625 // RXN-14939 // RXN-23621 // RXN-23622 // RXN-23623 // RXN-23624
PWY-8219	RXN-22129 // RXN-22128 // GLCNACPTRANS-RXN // RXN-14572 // RXN-15659 // RXN-22125 // RXN-22126 // RXN-22127
P241-PWY	RXN-7970 // HOMOACONITATE-HYDRATASE-RXN // RXN3O-1983 // HOMOCITRATE-SYNTHASE-RXN // R227-RXN // R226-RXN // R225-RXN // R224-RXN // R218-RXN // R217-RXN // R216-RXN // R215-RXN // R214-RXN // R213-RXN // R212-RXN // R211-RXN
PWY-6146	PEPSYNTH-RXN // RXN-22566 // METHELENE-THMPT-OXI-RXN // H2-METHYLENE-THMPT-DEHYDRO-RXN // 3.5.4.27-RXN // 2.3.1.101-RXN // FORMYLMETHANOFURAN-DEHYDROGENASE-RXN // PGLUCISOM-RXN // RXN0-5224 // PEPCARBOX-RXN // 2PGADEHYDRAT-RXN // 3PGAREARR-RXN // 1.2.7.6-RXN // TRIOSEPISOMERIZATION-RXN // F16ALDOLASE-RXN // R302-RXN // R601-RXN // MALATE-DEH-RXN // 2-OXOGLUTARATE-SYNTHASE-RXN // SUCCCOASYN-RXN // FUMHYDR-RXN // PYRUFLAVREDUCT-RXN // ASPAMINOTRANS-RXN // ALANINE-AMINOTRANSFERASE-RXN // RXN-14398 // RXN-14406 // RXN-14405 // RXN-10935 // RXN-9996 // RXN-14400 // RXN-14399 // 1.1.1.261-RXN // 2.5.1.41-RXN // 2.5.1.42-RXN // RXN-9995 // FARNESYLTRANSTRANSFERASE-RXN // FPPSYN-RXN // GPPSYN-RXN // IPPISOM-RXN // DIPHOSPHOMEVALONTE-DECARBOXYLASE-RXN // PHOSPHOMEVALONATE-KINASE-RXN // MEVALONATE-KINASE-RXN // 1.1.1.34-RXN // HYDROXYMETHYLGLUTARYL-COA-SYNTHASE-RXN // ACETYL-COA-ACETYLTRANSFER-RXN // PYRUVATE-CARBOXYLASE-RXN // RXN-21797 // 1.2.7.4-RXN // METHYLENETHFDEHYDROG-NADP-RXN // FORMATETHFLIG-RXN // METHENYLTHFCYCLOHYDRO-RXN // RXN-22438 // RXN-5061 // ACETYLSYNCLTH-RXN // METHCOCLTH-RXN // FORMATE-DEHYDROGENASE-NADP+-RXN
PWY-6075	RXN3O-218 // 1.3.1.71-RXN // RXN3O-227 // RXN3O-203 // RXN3O-178
PWY-6695	OXALATE-COA-TRANSFERASE-RXN // OXALYL-COA-DECARBOXYLASE-RXN // RXN0-1382
PWY-5481	L-LACTATE-DEHYDROGENASE-RXN
ECASYN-PWY	RXN-22149 // TRANS-RXN0-279 // GLCNACPTRANS-RXN // FUC4NACTRANS-RXN // UDPMANACATRANS-RXN
PWY-6386	6.3.2.10-RXN // 6.3.2.7-RXN // DALADALALIG-RXN // GLUTRACE-RXN // UDP-NACMURALA-GLU-LIG-RXN // UDP-NACMUR-ALA-LIG-RXN // UDPNACETYLMURAMATEDEHYDROG-RXN // UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN
PWY-7050	RXN-13431
P3-PWY	RXN-16834 // RXN-11667 // R11-RXN // ACETATEKIN-RXN // PHOSACETYLTRANS-RXN // R7-RXN // R8-RXN // R6-RXN // R5-RXN // 1.97.1.2-RXN // GALLATE-DECARBOXYLASE-RXN
PWY-7633	RXN-16373
PWY-6945	RXN-12849 // RXN-12850 // RXN-12848 // RXN-12745 // RXN-12744 // RXN-12743 // RXN-12778 // RXN-12694 // RXN-12710 // RXN-12709 // RXN-12708 // RXN-12707 // RXN-12706 // RXN-12705 // RXN-12704 // RXN-12703 // RXN-12702
PWY0-1507	RXN-17473 // RXN-17472 // DAPASYN-RXN // DETHIOBIOTIN-SYN-RXN
PWY-5941	GLUCOKIN-RXN // RXN-19947 // PHOSPHOGLUCMUT-RXN // RXN-9024 // RXN-9025 // GLYCOPHOSPHORYL-RXN
PWY-6632	RXN-11521 // RXN-11520 // RXN-11519 // RXN-13106 // RXN-11513 // RXN-11516 // RXN-11517 // RXN-11518 // RXN0-901 // XANTHINE-OXIDASE-RXN
P601-PWY	RXN-13045 // R547-RXN // R546-RXN // R545-RXN // R544-RXN // R543-RXN // R542-RXN // R541-RXN
PWY-8026	RXN-20123 // RXN-20115 // RXN-20130 // RXN66-19 // RXN-20125 // RXN-20119 // RXN-20118 // RXN-20117 // RXN66-314 // RXN-20116 // RXN66-306
PWY-6721	RXN-12159
PWY-5443	4.1.1.81-RXN // RXN-8626
PWY-5679	RXN-22224 // RXN-22223 // RXN-8893 // RXN-8892 // RXN-6267 // RXN-6266 // 3.5.3.22-RXN // 1.14.11.21-RXN // 6.3.3.4-RXN // 2.5.1.66-RXN
PWY-6105	RXN-12263 // RXN-13311 // RXN-13310 // RXN-13291 // RXN-13285 // RXN-13284 // RXN-13283 // RXN-13282 // RXN-13724
ARGSYNBSUB-PWY	GLUTAMINESYN-RXN // N-ACETYLTRANSFER-RXN // CARBPSYN-RXN // GLUTAMATE-N-ACETYLTRANSFERASE-RXN // ACETYLGLUTKIN-RXN // N-ACETYLGLUTPREDUCT-RXN // ACETYLORNTRANSAM-RXN // ORNCARBAMTRANSFER-RXN // ARGSUCCINLYA-RXN // ARGSUCCINSYN-RXN
PWY-7161	2.1.1.82-RXN // RXN-13932 // RXN-13934 // RXN-13933 // RXN-13906 // RXN-13930 // QUERCETIN-3-O-METHYLTRANSFERASE-RXN // RXN-13929 // RXN-8262
PWY-2463	RXN-3602 // RXN-3601 // RXN-3562 // ISOFLAVONE-2-HYDROXYLASE-RXN
PWY-7750	RXN-17357
PWY-1701	RXN-2841 // RXN-2861
PWY-7838	RXN-18300 // RXN-18299 // RXN-18298 // 2.4.1.88-RXN // 2.4.1.79-RXN // 2.4.1.228-RXN // CERAMIDE-GLUCOSYLTRANSFERASE-RXN // RXN-12119
P161-PWY	ALCOHOL-DEHYDROG-RXN // ACETATEKIN-RXN // PHOSACETYLTRANS-RXN // ACETALD-DEHYDROG-RXN // R141-RXN
PWY-7021	RXN-13146 // RXN-13165 // RXN-13204 // RXN-13203 // RXN-13123 // RXN-13122 // RXN-13116 // RXN-13117 // RXN-13119 // RXN-13118 // RXN-13205 // RXN-13176 // RXN-13177 // RXN-13174 // RXN-13175
PWY-5197	LACTALDDEHYDROG-RXN // RXN-10054 // FUCPALDOL-RXN // RXN-10064 // RXN-8075
PWY-8204	TRANS-RXN-437 // RXN-22042 // RXN-22041 // GLCNACPTRANS-RXN // TEICHOICSYN2-RXN
PWY-6289	RXN-19493 // RXN-10681 // RXN-10682 // RXN-10680 // DHSHIKIMATE-DEHYDRO-RXN // RXN-10675 // RXN-10676 // RXN-10677 // RXN-10678 // RXN-10679
PWY-8415	RXN-23585
PWY-5118	RXN-7777
PWY-7929	RXN-19104 // RXN-19062 // RXN-19061 // CHORPYRLY-RXN
PWY-8368	RXN-23165 // RXN-23164 // RXN-14684 // RXN-14547 // RXN-23161 // RXN-23160 // RXN-23159 // RXN-23158 // RXN-23157 // RXN-19079
PWY-882	RXN-7772 // RXNQT-4141 // RXNQT-4142 // RXN-1884 // GALACTONOLACTONE-DEHYDROGENASE-RXN
PWY-6933	RXN-11042 // RXN-11063 // RXN-11061
PWY-7559	RXN-12618 // RXN-6622
PWY-5175	RXN-8030 // RXN-8029 // RXN-8028
BRANCHED-CHAIN-AA-SYN-PWY	RXN-15121 // RXN-15123 // RXN-15122 // ACETOOHBUTSYN-RXN // ACETOOHBUTREDUCTOISOM-RXN // BRANCHED-CHAINAMINOTRANSFERILEU-RXN // DIHYDROXYMETVALDEHYDRAT-RXN // ACETOLACTSYN-RXN // ACETOLACTREDUCTOISOM-RXN // BRANCHED-CHAINAMINOTRANSFERVAL-RXN // DIHYDROXYISOVALDEHYDRAT-RXN // RXN-8991 // RXN-7800 // 2-ISOPROPYLMALATESYN-RXN // 3-ISOPROPYLMALISOM-RXN // BRANCHED-CHAINAMINOTRANSFERLEU-RXN // 3-ISOPROPYLMALDEHYDROG-RXN
PWY-7068	RXN-13502 // RXN-13501 // RXN-13500
PWY-6690	RXN-10040 // RXN-12071 // RXN-12070 // RXN-12073 // RXN-12072
PWY-5134	RXN-18452 // RXN-18448 // RXN-18439 // RXN-18442 // RXN-18445 // RXN-18450 // RXN-18446 // RXN-18441 // RXN-7807 // RXN-7810 // RXN-7811 // 2.3.1.156-RXN // RXN-18449 // RXN-18447 // RXN-7813 // RXN-7812 // RXN-7809 // RXN-7805
PWY-8451	1.5.1.19-RXN // RXN-14880
PWY-7826	RXN-18121 // RXN-1103 // RXN-1126 // RXN-21005 // RXN-18133 // RXN-18153 // RXN-18152 // RXN-18142 // RXN-18141 // RXN-18140 // RXN-18138 // RXN-18137 // RXN-18136 // RXN-18135 // RXN-18134 // RXN-18129 // RXN-18132 // RXN-18125 // RXN-18124 // RXN-18126 // TYROSINE-DECARBOXYLASE-RXN // RXN-18120 // RXN-18122 // RXN-18128 // RXN-18123 // RXN-18127
PWY-5943	RXN1F-150 // RXN1F-151
PWY-4341	GLUTAMATE-SYNTHASE-FERREDOXIN-RXN
PWY-6463	RXN-11311 // 2.3.2.10-RXN
PWY-8004	PEPDEPHOS-RXN // 2PGADEHYDRAT-RXN // RXN-15513 // PHOSGLYPHOS-RXN // GAPOXNPHOSPHN-RXN // 6PGLUCONOLACT-RXN // GLU6PDEHYDROG-RXN // PGLUCONDEHYDRAT-RXN // KDPGALDOL-RXN
NONOXIPENT-PWY	RIB5PISOM-RXN // RIBULP3EPIM-RXN // 1TRANSKETO-RXN // 2TRANSKETO-RXN // TRANSALDOL-RXN
PWY-8073	RXN-20789 // RXN-20788 // RXN-20787 // RXN-20786 // RXN-20785 // RXN-20784
GLYCOLATEMET-PWY	TSA-REDUCT-RXN // RXN0-7229 // GKI-RXN // GLYOCARBOLIG-RXN
PWY-7720	FARNESYLTRANSTRANSFERASE-RXN // RXN-8813 // RXN-15427
P282-PWY	R247-RXN
PWY-7092	RXN-11733 // RXN-9674 // RXN-13603
TCA-GLYOX-BYPASS	RXN-14971 // ISOCITDEH-RXN // MALATE-DEHYDROGENASE-ACCEPTOR-RXN // 2OXOGLUTARATEDEH-RXN // SUCCCOASYN-RXN // FUMHYDR-RXN // MALATE-DEH-RXN // ACONITATEDEHYDR-RXN // CITSYN-RXN // ACONITATEHYDR-RXN // ISOCIT-CLEAV-RXN // MALSYN-RXN
PWY-7424	RXN-15135 // RXN-15134 // RXN-15133 // RXN-15132
PWY-8015	ACETATEKIN-RXN // RXN-7566
PWY-6633	RXN-17332 // RXN-17331 // RXN-15456 // RXN-15455 // RXN-15454 // RXN-11522 // RXN-11523
PWY-1042	1.2.1.9-RXN // PEPDEPHOS-RXN // 2PGADEHYDRAT-RXN // 3PGAREARR-RXN // PHOSGLYPHOS-RXN // GAPOXNPHOSPHN-RXN // TRIOSEPISOMERIZATION-RXN // F16ALDOLASE-RXN // 2.7.1.90-RXN // 6PFRUCTPHOS-RXN
ANAPHENOXI-PWY	RXN-10814 // PHENDEHYD-RXN // PHENYLPYRUVATE-DECARBOXYLASE-RXN
PWY-5985	RXN-9613
PWY-6122	GARTRANSFORMYL2-RXN // AIRS-RXN // FGAMSYN-RXN // GLYRIBONUCSYN-RXN // PRPPAMIDOTRANS-RXN
PWY-4381	RXN0-5055 // 2.3.1.180-RXN // MALONYL-COA-ACP-TRANSACYL-RXN
PWY-5785	UNDECAPRENYL-DIPHOSPHATASE-RXN // RXN-8999
PWY-5054	PGLUCISOM-RXN // SORBITOL-6-PHOSPHATASE-RXN // ALDOSE-6-PHOSPHATE-REDUCTASE-NADPH-RXN
PWY-7420	RXN-15091 // RXN-15090 // RXN-15089 // RXN-15088
PWY-7574	RXN-2902 // 3-HYDROXYPROPIONATE-DEHYDROGENASE-RXN // RXN-6384 // RXN-6383 // RXN-15977
PWY-5311	RXN-8243 // RXN-8172 // L-LYSINE-OXIDASE-RXN
PWY0-1569	RXN-15216 // RXN0-5461 // RXN-15943
PWY-7389	SUCCCOASYN-RXN // RXN-8807 // PYRUVDEH-RXN // 1.1.1.39-RXN // PROPIONYL-COA-CARBOXY-RXN // METHYLMALONYL-COA-EPIM-RXN // METHYLMALONYL-COA-MUT-RXN // RXN0-268 // RXN-14963 // FUMHYDR-RXN // RXN-12481 // 4.1.1.32-RXN // MALATE-DEH-RXN // ASPAMINOTRANS-RXN // ALARACECAT-RXN // ALANINE-AMINOTRANSFERASE-RXN // PEPDEPHOS-RXN
PWY-7951	RXN-19218 // RXN-19224 // RXN-19217 // RXN-19216 // RXN-19215 // RXN-19214 // RXN-19213 // RXN-19212
PWY-7871	RXN-18599 // RXN-18588 // RXN-18596
PWY-8490	RXN-22507 // RXN-22506 // RXN-24316 // RXN-24315
PWY-6628	RXN-10814 // CHORISMATEMUT-RXN // PREPHENATEDEHYDRAT-RXN // 3-DEHYDROQUINATE-DEHYDRATASE-RXN // SHIKIMATE-5-DEHYDROGENASE-RXN // SHIKIMATE-KINASE-RXN // 2.5.1.19-RXN // CHORISMATE-SYNTHASE-RXN // DAHPSYN-RXN // 3-DEHYDROQUINATE-SYNTHASE-RXN
PWY-6720	RXN-12150 // RXN-12151 // RXN-12152 // RXN-12153 // RXN-12154
PWY-8181	RXN-21787 // RXN-21786 // RXN-21785 // RXN-21784 // RXN-21783 // RXN-21782 // RXN-21781 // RXN-21780 // RXN-21779 // RXN-21777 // RXN-21773 // RXN-21774 // RXN-21775 // RXN-21776
PWY-8389	RXN-23357 // RXN-23356 // RXN-23358 // RXN-23351 // RXN-23352 // RXN-23353 // RXN-23343 // RXN-23345 // RXN-23346
PWYQT-4429	RXN0-5224 // PEPCARBOX-RXN
PWY-5747	RXN-8977 // RXN-8979 // 4.2.1.99-RXN // METHYLISOCITRATE-LYASE-RXN // 2-METHYLCITRATE-SYNTHASE-RXN // PROPIONATE--COA-LIGASE-RXN
PWY-7011	RXN-668 // RXN-13155 // RXN-13152
PWY-8259	TRANS-RXN0-551 // RXN-22385 // RXN-982 // TRANS-RXN0-550 // RXN-22340 // RXN-22341
GLYCOLYSIS-TCA-GLYOX-BYPASS	PYRUVDEH-RXN // TRANS-RXN-157 // RXN-15513 // F16BDEPHOS-RXN // PEPSYNTH-RXN // PGLUCISOM-RXN // 6PFRUCTPHOS-RXN // F16ALDOLASE-RXN // TRIOSEPISOMERIZATION-RXN // GAPOXNPHOSPHN-RXN // PHOSGLYPHOS-RXN // 3PGAREARR-RXN // 2PGADEHYDRAT-RXN // PEPDEPHOS-RXN // RXN-14971 // ISOCITDEH-RXN // MALATE-DEHYDROGENASE-ACCEPTOR-RXN // 2OXOGLUTARATEDEH-RXN // SUCCCOASYN-RXN // FUMHYDR-RXN // MALATE-DEH-RXN // ACONITATEDEHYDR-RXN // CITSYN-RXN // ACONITATEHYDR-RXN // ISOCIT-CLEAV-RXN // MALSYN-RXN
PWY-7552	RXN-15808 // RXN-15809 // RXN-15805
PPGPPMET-PWY	GDPKIN-RXN // RXN0-6427 // GDPPYPHOSKIN-RXN // GTPPYPHOSKIN-RXN // PPGPPSYN-RXN // PPPGPPHYDRO-RXN
PWY-7995	RXN-19652 // RXN-12616 // RXN66-587 // RXN-7650 // RXN-11583
PWY1-2	ALANINE-DEHYDROGENASE-RXN
PWY-8422	RXN-23617 // RXN-22254
PWY-5661	GLUCOKIN-RXN // PHOSPHOGLUCMUT-RXN // 2.7.7.34-RXN
PWY-7593	RXN-16068
PWY-7052	RXN-21711 // RXN-13440 // RXN-13439 // 3.4.15.6-RXN // 6.3.2.30-RXN // 6.3.2.29-RXN
PWY-6876	ISOPROPANOL-DEHYDROGENASE-NADP+-RXN // ACETOACETATE-DECARBOXYLASE-RXN // ACETOACETYL-COA-HYDROLASE-RXN // ACETYL-COA-ACETYLTRANSFER-RXN // PYRUFLAVREDUCT-RXN
PWY-2902	RXN-4737 // RXN-4735 // RXN-4726 // RXN-4723
PWY-842	RXN-15910 // RXN-15909 // RXN-15908
PWY-7817	TRANS-RXN-1533 // RXN-16648 // RXN-18039 // RXN-18013 // RXN-18014 // RXN-18038 // RXN-18037 // TRANS-RXN-316 // RXN-18036 // PGPPHOSPHA-RXN // PHOSPHAGLYPSYN-RXN // CDPDIGLYSYN-RXN // DIACYLGLYKIN-RXN // RXN-18035 // TRANS-RXN-315 // GLUC1PURIDYLTRANS-RXN // RXN-15117
PWY-6317	PHOSPHOGLUCMUT-RXN // ALDOSE1EPIM-RXN // UDPGLUCEPIM-RXN // GALACTURIDYLYLTRANS-RXN // GALACTOKIN-RXN
PWY-7848	RXN-18346 // RXN-18347
PWY-5290	RXN-20745 // RXN-20744 // RXN-19644 // RXN-9370 // RXN-9369 // RXN-9368 // RXN-9367 // RXN-15237 // LOGANATE-O-METHYLTRANSFERASE-RXN // RXN-4521 // RXN-9372 // RXN-9371 // RXN-8618 // STRICTOSIDINE-SYNTHASE-RXN // AROMATIC-L-AMINO-ACID-DECARBOXYLASE-RXN // 1.3.3.9-RXN // RXN-8197
PWY-7914	RXN-18875 // RXN-18867 // RXN-18865 // RXN-18866 // RXN-18859 // RXN-18858 // RENILLA-LUCIFERIN-SULFOTRANSFERASE-RXN
PWY-5314	RXN-8173 // RXN-8808
GLUTDEG-PWY	ASPARTASE-RXN // ASPAMINOTRANS-RXN
PWY0-381	GLYCPDIESTER-RXN // TRANS-RXN-131 // RXN-15745 // GLYCEROL-KIN-RXN
P164-PWY	RXN-21065 // METHENYLTHFCYCLOHYDRO-RXN // FORMYLTHFDEFORMYL-RXN // ACETATEKIN-RXN // RXN-7566 // RXN-8755 // 1.2.1.2-RXN // 4.3.1.4-RXN // GLYCINE-FORMIMINOTRANSFERASE-RXN // R63-RXN // R13-RXN // R62-RXN // R128-RXN // R127-RXN // GUANINE-DEAMINASE-RXN
PWY-5485	ACETATEKIN-RXN // PHOSACETYLTRANS-RXN // PYRUVFORMLY-RXN
PWY-7251	RXN-111 // RXN-8434 // RXN-12102 // RXN-9915 // RXN-9916 // RXN-7570 // RXN-12099 // RXN-12101 // RXN-12847 // RXN-12103
PWY2B4Q-6	RXN2B4Q-55 // RXN2B4Q-54
PWY-7334	RXN-14767 // RXN-13252
PWY-7035	RXN-14486 // RXN-14485 // RXN-14484 // RXN-13322 // RXN-20382 // RXN-20381 // RXN-20380 // RXN-20379 // RXN-20375 // RXN-20376 // RXN-20377 // RXN-20378 // RXN-13289 // RXN-13288
PWY-6454	DLACTDEHYDROGNAD-RXN // RXN-11298 // 3.4.13.22-RXN
PWY-7392	4.2.3.17-RXN // FARNESYLTRANSTRANSFERASE-RXN // RXN-24044 // RXN-24043 // RXN-15878 // IPPISOM-RXN // RXN0-302 // 2.7.1.148-RXN // 2.7.7.60-RXN // DXPREDISOM-RXN // DXS-RXN // FPPSYN-RXN // GPPSYN-RXN
PWY-8382	RXN-9028 // RXN-9030 // RXN-23299 // RXN-23294 // RXN-15400 // RXN-23295 // RXN-23296 // RXN-23297 // RXN-23298
PWY-5886	TYROSINE-AMINOTRANSFERASE-RXN
PWY-3981	RXN-6382 // RXN-6381
PWY-6128	RXN-9963 // RXN-9962
PWY-5478	RXN-8727 // RXN-8726 // RXN-8725 // RXN-8724 // RXN-8723 // RXN-8722 // RXN-8721 // RXN-8720 // RXN-8719 // RXN-8718 // 2.3.1.143-RXN // RXN-8717 // RXN-8716 // 2.3.1.90-RXN // GALLATE-1-BETA-GLUCOSYLTRANSFERASE-RXN
PWY-6692	CYTOCHROME-C-OXIDASE-RXN // RXN-15832 // RXN-15829 // NADH-DEHYDROG-A-RXN // RXN-12075 // RXN-12076
PWY66-241	RXN66-185 // RXN66-184 // RXN66-183 // RXN66-181 // RXN66-182
PWY-6638	4.4.1.25-RXN // RXN-11737 // RXN-11738
PWY-8476	RXN-24203 // RXN-24202 // RXN-24197 // RXN-9690 // RXN-24201 // RXN-24200 // RXN-24199 // RXN-24198 // RXN-9689 // RXN-24195 // RXN-18497
PWY-7178	RXN-14022 // XYLONATE-DEHYDRATASE-RXN // 4.1.2.28-RXN // RXN-14023
PWY-5694	ALLANTOICASE-RXN // ALLANTOINASE-RXN // UREIDOGLYCOLATE-LYASE-RXN
PWY-6681	RXN-11998 // RXN-11989 // RXN-11976 // RXN-12001 // RXN-12000 // RXN-11999 // RXN-11974
PWY-6048	RXN-16013 // RXN-16012 // RXN-16011 // RXN-16010 // RXN-12571 // RXN-12572
PWY-7709	GPPSYN-RXN // 4.2.3.26-RXN
PWY-6664	MYO-INOSITOL-1-PHOSPHATE-SYNTHASE-RXN // RXN-11880 // RXN-11879 // RXN-11877
PWY-7383	RXN-12481 // 4.1.1.32-RXN // MALATE-DEH-RXN // ASPAMINOTRANS-RXN // ALARACECAT-RXN // ALANINE-AMINOTRANSFERASE-RXN // PEPDEPHOS-RXN
PWY-7728	RXN-17118 // RXN-16114 // RXN-16113 // RXN-16112 // RXN-16079
PWY-6802	TYROSINE-DECARBOXYLASE-RXN // RXN-5821 // RXN-12370 // RXN3O-4113
PWY2PN3-14	RXN-12515 // RXN2PN3-75 // RXN2PN3-74 // ARGDECARBOX-RXN
PWY-7429	CYTOCHROME-C-OXIDASE-RXN // RXN-22434 // 1.20.98.1-RXN
