Pathways	Common-Name
PWY-6482	diphthamide biosynthesis I (archaea)
P541-PWY	glycine betaine biosynthesis IV (from glycine)
GLUCONEO-PWY	gluconeogenesis I
PWY-6413	ginsenoside degradation III
PWY-7075	phenylethyl acetate biosynthesis
PWY-8306	methoxylated aromatic compound degradation I
PWY-7823	chlorzoxazone degradation
PWY-8190	L-glutamate degradation XI (reductive Stickland reaction)
PWY-7861	<i>N</i>-hydroxy-L-pipecolate biosynthesis
PWY-6368	3-phosphoinositide degradation
PWY1QP9-2	fructosyllysine and glucosyllysine metabolism
PWY-6665	pterostilbene biosynthesis
PWY-7920	complex <i>N</i>-linked glycan biosynthesis (plants)
PWY-6883	pyruvate fermentation to butanol II (engineered)
PWY-1822	indole-3-acetate activation I
PWY-8478	polygodial biosynthesis
PWY-6771	rhamnogalacturonan type I degradation II (bacteria)
PWY-7182	linalool biosynthesis I
PWY-6366	D-<i>myo</i>-inositol (1,4,5,6)-tetrakisphosphate biosynthesis
GALLATE-DEGRADATION-I-PWY	gallate degradation II
PWY-8369	superpathway of novobiocin biosynthesis
PWY-6160	3-dehydroquinate biosynthesis II (archaea)
PWY-8029	limonene degradation IV (anaerobic)
PWY0-461	L-lysine degradation I
PWY-5203	soybean saponin I biosynthesis
PWY-6047	dimethyl sulfide degradation I
PWY-7336	UDP-<i>N</i>-acetyl-&alpha;-D-galactosaminuronate biosynthesis
PWY-5955	versicolorin B biosynthesis
PWY-6191	2,5-dichlorotoluene degradation
PWY-6104	3-chlorotoluene degradation II
PWY-8429	1-(<i>sn</i>-glycero-1-phospho)-1D-myo-inositol biosynthesis
PWY-7745	p-HBAD biosynthesis
PWY-6385	peptidoglycan biosynthesis III (mycobacteria)
PWY0-1479	tRNA processing
PWY-7332	superpathway of UDP-<I>N</i>-acetylglucosamine-derived O-antigen building blocks biosynthesis
PWY-7696	citreoisocoumarin and bikisocoumarin biosynthesis
PWY-81	toluene degradation to benzoyl-CoA (anaerobic)
PWY-5491	diethylphosphate degradation
PWY-6102	5-chloro-3-methyl-catechol degradation
LYSDEGII-PWY	L-lysine degradation III
PWY-8121	2-deoxy-D-glucose 6-phosphate degradation
PWY-381	nitrate reduction II (assimilatory)
PWY-5829	geraniol and geranial biosynthesis
PWY-8252	<i>Escherichia coli</i> serotype O:50 O antigen biosynthesis
PWY-8357	protectin biosynthesis
PWY-6592	manganese oxidation II
PWY4FS-4	phosphatidylcholine biosynthesis IV
PWY-5863	superpathway of phylloquinol biosynthesis
PWY-5029	3-(imidazol-5-yl)lactate salvage
PWY-2	putrescine degradation IV
PWY-6722	candicidin biosynthesis
PWY-8326	grayanate biosynthesis
PWY-7335	UDP-<i>N</i>-acetyl-&alpha;-D-mannosaminouronate biosynthesis
OXIDATIVEPENT-PWY	pentose phosphate pathway (oxidative branch) I
PWY-5897	superpathway of menaquinol-11 biosynthesis
PWY18C3-1	cholesterol biosynthesis (plants, early side-chain reductase)
PWY-5515	L-arabinose degradation II
PWY-6183	salicylate degradation I
PWY-7663	gondoate biosynthesis (anaerobic)
PWY-6827	gellan degradation
PWY-5107	phytol salvage pathway
ALACAT2-PWY	L-alanine degradation II (to D-lactate)
PWY66-397	resolvin D biosynthesis
PWY-8453	D-glutamate degradation
PWY-6751	superpathway of hydrogen production
PWY-5912	2'-deoxymugineic acid phytosiderophore biosynthesis
PWY-7171	flavonol acylglucoside biosynthesis II - isorhamnetin derivatives
PWY-7781	&omega;-sulfo-II-dihydromenaquinone-9 biosynthesis
PWY-1281	sulfoacetaldehyde degradation I
PWY-5132	lupulone and humulone biosynthesis
PWY-6923	ricinine degradation
PWY-7246	pectin degradation I
PWY0-541	<i>cis</i>-cyclopropane fatty acid (CFA) biosynthesis
PWY-6713	L-rhamnose degradation II
PWY-7766	heme <i>b</i> biosynthesis IV (Gram-positive bacteria)
PWY-8251	<i>Escherichia coli</i> serotype O:2 O antigen biosynthesis
PWY-6559	spermidine biosynthesis II
PWY18C3-13	<i>cis</i>-abienol biosynthesis
PWY2O6K-6	glycerol 3-phosphate to cytochrome <i>aa<sub>3</sub></i> oxidase electron transfer
PWY-3781	aerobic respiration I (cytochrome c)
PWY-6391	<i>meso</i>-butanediol biosynthesis I
2OXOBUTYRATECAT-PWY	2-oxobutanoate degradation II
PWY-7480	2,3-dihydroxybenzoate degradation
PWY-6491	D-galacturonate degradation IV
PWY-8103	kavain biosynthesis
PWY-6708	ubiquinol-8 biosynthesis (early decarboxylation)
PWY-5004	superpathway of L-citrulline metabolism
PWY0-1578	hydrogen to trimethylamine N-oxide electron transfer
PWY-7261	anthocyanidin 3-malylglucoside biosynthesis (acyl-glucose dependent)
PWY-6346	staurosporine biosynthesis
PWY0-41	allantoin degradation IV (anaerobic)
PWY-6685	glucosylglycerate biosynthesis II
PWY-7232	gibberellin biosynthesis V
RUMP-PWY	formaldehyde oxidation I
PWY-8119	microcin B17 biosynthesis
PWY-5413	neoabietic acid biosynthesis
PWY-5640	nitrobenzene degradation II
PWY-5486	pyruvate fermentation to ethanol II
PWY-6153	autoinducer AI-2 biosynthesis I
PWY-7039	phosphatidate metabolism, as a signaling molecule
PWY-7226	guanosine deoxyribonucleotides <i>de novo</i> biosynthesis I
PWY-7312	dTDP-&beta;-D-fucofuranose biosynthesis
PWY-7585	docosahexaenoate biosynthesis II (bacteria)
PWY66-341	cholesterol biosynthesis I
PWY2PN3-7	photosynthesis light reactions II (cytochrome <i>c</i><sub>6</sub>)
PWY-6027	capsiconiate biosynthesis
PWY-5724	superpathway of atrazine degradation
PWY-84	resveratrol biosynthesis
PWY-12	pentaketide chromone biosynthesis
PWY0-44	D-allose degradation
ETHYL-PWY	ethene biosynthesis I (plants)
PWY-7795	terephthalate degradation
PWY-3261	UDP-&beta;-L-rhamnose biosynthesis
PWY-5403	betaxanthin biosynthesis (via dopamine)
PWY-5784	indole-3-acetate inactivation VIII
PWY-7393	&beta;-carotene biosynthesis (engineered)
PWY-5631	deacetylcephalosporin C biosynthesis
PWY-8020	D-xylose degradation V
PWY-6343	ferulate degradation
PWY-721	3-methylquinoline degradation
PWY-7219	adenosine ribonucleotides <i>de novo</i> biosynthesis
PWY-7811	6-methylpretetramide biosynthesis
PWY-8085	picolinate degradation
PWY-7999	vitamin K-epoxide cycle
PWY-8509	selenate reduction I
PWY-6591	manganese oxidation I
PWY-7682	arabidopyrone biosynthesis
PWY-5487	4-nitrophenol degradation I
PWY66-201	nicotine degradation IV
PWY-6280	synechoxanthin biosynthesis
PWY-7028	UDP-<i>N,N'</i>-diacetylbacillosamine biosynthesis
PWY-5414	palustric acid biosynthesis
PWY-8419	L-canavanine degradation II
PWY-7328	superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis
PWY0-521	fructoselysine and psicoselysine degradation
PWY-2021	indole-3-acetate inactivation IV
PWY-8301	<i>S</i>-(6-hydroxy-4-methylhexan-4-yl)-L-cysteinylglycine biosynthesis
PWY-7963	4-methylphenyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP
PWY-8441	(4<i>R</i>)-4-[(<i>E</i>)-2-butenyl]-4-methyl-L-threonine biosynthesis
PWY-8261	roxarsone degradation II
PWY-5947	lutein biosynthesis
PWY-7057	cichoriin interconversion
PWY-5005	biotin biosynthesis II
PWY-6147	6-hydroxymethyl-dihydropterin diphosphate biosynthesis I
PWY-7715	superpathway of trichothecene biosynthesis
N2FIX-PWY	nitrogen fixation I (ferredoxin)
PWY-7833	biosynthesis of Lewis epitopes (<i>H. pylori</i>)
PWY-8196	<i>Salmonella enterica</i> serotype O:3,10 O antigen biosynthesis
PWY-5530	sorbitol biosynthesis II
PWY-8146	cytochrome <i>c</i> biogenesis (system II type)
PWY-7634	vernolate biosynthesis II
PWY-7666	galactolipid biosynthesis II
PWY-6503	superpathway of ergotamine biosynthesis
PWY-5344	L-homocysteine biosynthesis
PWY-8237	<i>Escherichia coli</i> serotype O:1B/<i>Salmonella enterica</i> serotype O:42 O antigen biosynthesis
PWY-4921	protein citrullination
PWY-3461	L-tyrosine biosynthesis II
PWY-1186	L-homomethionine biosynthesis
PWY2B4Q-8	lipid A-core biosynthesis (<i>Brucella</i>)
PWY-5170	melamine degradation
PWY-5434	(3<i>E</i>)-4,8-dimethylnona-1,3,7-triene biosynthesis I
PWY-7681	1-chloro-2-nitrobenzene degradation
PWY-7855	ectoine degradation
PWY-7884	lipoprotein posttranslational modification (Gram-negative bacteria)
PWY-6887	kauralexin biosynthesis
P542-PWY	choline-<i>O</i>-sulfate degradation
PWY66-395	aspirin triggered resolvin D biosynthesis
PWY-8202	11-oxyandrogens biosynthesis
PWY-6914	sophoraflavanone G biosynthesis
PWY-8339	&gamma;-butyrobetaine degradation III
PWY-6742	methane oxidation to methanol II
PWY-3481	superpathway of L-phenylalanine and L-tyrosine biosynthesis
PWY-6930	phenolic malonylglucosides biosynthesis
PWY-8014	L-phenylalanine degradation VI (reductive Stickland reaction)
PWY18C3-16	acylsucrose biosynthesis (<i>Solanum habrochaites</i>)
PWY-7417	phospholipid remodeling (phosphatidate, yeast)
PWY-8105	queuosine biosynthesis II (queuine salvage)
PWY-7036	very long chain fatty acid biosynthesis II
PWY-7659	viridicatumtoxin biosynthesis
FLUORENE-DEG-9-ONE-PWY	fluorene degradation I
PWY-5766	L-glutamate degradation X
PWY-7534	gliotoxin inactivation
PWY-6842	glutathione-mediated detoxification II
OANTIGEN-PWY	<i>O</i>-antigen building blocks biosynthesis (<i>E. coli</i>)
PWY-7975	adenosylcobalamin biosynthesis from adenosylcobinamide-GDP II
PWY-8126	chlorophyll <i>a</i><sub>2</sub> biosynthesis
PWY-6005	marneral biosynthesis
HOMOSER-THRESYN-PWY	L-threonine biosynthesis
PWY-8486	cyclohexane-1-carboxylate degradation III (aerobic)
PWY66-388	ceramide degradation by &alpha;-oxidation
PWY-5047	gibberellin biosynthesis IV (<i>Gibberella fujikuroi</i>)
PWY-5727	atrazine degradation II
PWY-6157	autoinducer AI-1 biosynthesis
PWY-7242	D-fructuronate degradation
PWY-7376	cob(II)yrinate <i>a,c</i>-diamide biosynthesis II (late cobalt incorporation)
PWY-2881	cytokinins 7-<i>N</i>-glucoside biosynthesis
PWY-7492	paspaline biosynthesis
PWY6666-1	anandamide degradation
PWY-7601	arachidonate biosynthesis IV (8-detaturase, lower eukaryotes)
PWY-7008	2-hydroxybiphenyl degradation
PWY-5367	petroselinate biosynthesis
PWY-5142	acyl-[acyl-carrier protein] thioesterase pathway
PWY-6823	molybdopterin biosynthesis
PWY-5451	acetone degradation I (to methylglyoxal)
PWY-5122	geranyl diphosphate biosynthesis
PWY-5276	sulfite oxidation I
PWY-5424	superpathway of oleoresin turpentine biosynthesis
PWY3O-4106	NAD salvage pathway IV (from nicotinamide riboside)
PWY-7236	mycocyclosin biosynthesis
PWY-8132	<i>S</i>-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation III
PWY-6420	pyrroloquinoline quinone biosynthesis
PWY-5429	1,4-dimethylbenzene degradation to 4-methylbenzoate
PWY-7649	3-hydroxy-<i>L</i>-homotyrosine biosynthesis
TRPSYN-PWY	L-tryptophan biosynthesis
PWY-7254	TCA cycle VII (acetate-producers)
PWY-6199	quercetin sulfate biosynthesis
PWY-561	superpathway of glyoxylate cycle and fatty acid degradation
PWY-6028	acetoin degradation
PWY5F9-12	biphenyl degradation
PWY-5989	stearate biosynthesis II (bacteria and plants)
PWY4FS-2	phosphatidylcholine biosynthesis II
PWY-5475	pentagalloylglucose biosynthesis
PWY-5930	terpentecin biosynthesis
PWY-6040	chlorogenic acid biosynthesis II
PWY18C3-8	monoacylsucrose biosynthesis (<i>Solanum</i>)
PWY0-1597	prenylated FMNH<sub>2</sub> biosynthesis
TCA	TCA cycle I (prokaryotic)
THRDLCTCAT-PWY	L-threonine degradation III (to methylglyoxal)
PWY-8353	3-thia-L-glutamate biosynthesis
PWY-5708	ethiin metabolism
PWY-6654	phosphopantothenate biosynthesis III (archaea)
PWY-6645	labdane-type diterpenes biosynthesis
PWY-6407	yersiniabactin biosynthesis
P4-PWY	superpathway of L-lysine, L-threonine and L-methionine biosynthesis I
PWY-6178	2,4,6-trichlorophenol degradation
PWY-8106	queuosine biosynthesis III (queuosine salvage)
PWY-5698	allantoin degradation to ureidoglycolate II (ammonia producing)
PWY-5922	(4<i>R</i>)-carveol and (4<i>R</i>)-dihydrocarveol degradation
PWY-7412	mycinamicin biosynthesis
PANTO-PWY	phosphopantothenate biosynthesis I
PWY-7743	dimycocerosyl triglycosyl phenolphthiocerol biosynthesis
GLCMANNANAUT-PWY	superpathway of <i>N</i>-acetylglucosamine, <i>N</i>-acetylmannosamine and <i>N</i>-acetylneuraminate degradation
PWY-6233	jasmonoyl-amino acid conjugates biosynthesis II
PWY-3001	superpathway of L-isoleucine biosynthesis I
PWY-6959	L-ascorbate degradation V
PWY-7564	bacimethrin and bacimethrin pyrophosphate biosynthesis
PWY-5660	paclitaxel biosynthesis
PWY-8458	methylglyoxal degradation IX
PWY-5889	rhodoquinone-9 biosynthesis
PWY-7126	ethene biosynthesis IV (engineered)
PWY-8496	anabaenopeptin F biosynthesis
PWY-8206	<i>Salmonella enterica</i> serotype O:18 O antigen biosynthesis
PWY18C3-7	cembratrienediol biosynthesis
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)
CITRULLINE-DEG-PWY	L-citrulline degradation
PWY-6553	caffeine degradation II
PWY-7259	pelargonidin diglucoside biosynthesis (acyl-glucose dependent)
PWY0-1433	tetrahydromonapterin biosynthesis
PWY-5956	sterigmatocystin biosynthesis
PWY-8508	glycerol degradation IV
PWY66-373	sucrose degradation V (sucrose &alpha;-glucosidase)
PWY-6920	6-gingerol analog biosynthesis (engineered)
PWY-5312	superpathway of anthocyanin biosynthesis (from pelargonidin 3-O-glucoside)
PWY-6785	hydrogen production VIII
PWY-8485	cyclohexane-1-carboxylate degradation II (anaerobic)
PWY-5770	phenazine-1-carboxylate biosynthesis
PWY-6310	aloenin biosynthesis
PWY-4861	UDP-&alpha;-D-galacturonate biosynthesis I (from UDP-D-glucuronate)
PWY-5303	thiosulfate oxidation II (via tetrathionate)
PWY-6938-1	NADH repair (prokaryotes)
PWY-5052	superpathway of gibberellin biosynthesis
PWY-8348	sulfoquinovose degradation IV
PWY-5377	&alpha;-amyrin biosynthesis
PWY-6790	L-arabinan degradation
PWY-7044	5-nitroanthranilate degradation
PWY-8281	4-aminobenzoate biosynthesis III
PWY-6197	chlorinated phenols degradation
PWY-6308	L-cysteine biosynthesis II (tRNA-dependent)
PWY-4521	arsenite to oxygen electron transfer
PWY0-522	lipoate salvage I
PWY-6699	oxalate biosynthesis
PWY-5534	propene degradation
PWY-7222	guanosine deoxyribonucleotides <i>de novo</i> biosynthesis II
14DICHLORBENZDEG-PWY	1,4-dichlorobenzene degradation
PWY18HP-2	decaprenoxanthin diglucoside biosynthesis
PWY-1781	&beta;-alanine degradation II
PWY-6501	D-glucuronate degradation II
PWY-3721	choline degradation II
CALVIN-PWY	Calvin-Benson-Bassham cycle
PWY-6241	thyroid hormone biosynthesis
PWY-5725	farnesene biosynthesis
PWY-6350	archaetidylinositol biosynthesis
PWY-2701	maackiain conjugates interconversion
PWY-7356	thiamine diphosphate salvage IV (yeast)
PWY-6478	GDP-D-<i>glycero</i>-&alpha;-D-<i>manno</i>-heptose biosynthesis
PWY-3161	indole-3-acetate biosynthesis III (bacteria)
PWY-8078	quebrachitol biosynthesis
PWY-5993	superpathway of rifamycin B biosynthesis
PWY-8049	pederin biosynthesis
PWY-8303	reductive glycine pathway of autotrophic CO<sub>2</sub> fixation
PWY-8455	misacylated tRNA editing
PWY-8231	<i>Escherichia coli</i> serotype O:127 <i>O</i> antigen biosynthesis
PWY-5533	acetone degradation II (to acetoacetate)
PWY-7693	guadinomine B biosynthesis
PWY-6854	ethene biosynthesis III (microbes)
PWY-6640	salicylate degradation IV
PWY0-301	L-ascorbate degradation I (bacterial, anaerobic)
PWY-7128	nicotine degradation III (VPP pathway)
PWY-6426	uracil degradation II (oxidative)
PWY-5839	menaquinol-7 biosynthesis
PWY-5961	superpathway of aflatoxin biosynthesis
PWY-8084	daurichromenate biosynthesis
PWY-6456	serinol biosynthesis
PWY-7721	methyl phomopsenoate biosynthesis
PWY-7456	&beta;-(1,4)-mannan degradation
PWY6666-2	dopamine degradation
PWY-8034	spectinabilin biosynthesis
PWY-7625	phosphatidylinositol biosynthesis II (eukaryotes)
PWY-7755	iso-bile acids biosynthesis I
PWY-2421	indole-3-acetate degradation I
PWY-5370	carbon tetrachloride degradation I
PWY-7907	(2S,3E)-2-amino-4-methoxy-but-3-enoate biosynthesis
PWY-7905	<i>Escherichia coli</i> serotype O:9a O antigen biosynthesis
SERDEG-PWY	L-serine degradation
PWY-5178	toluene degradation IV (aerobic) (via catechol)
PWY-7318	dTDP-3-acetamido-3,6-dideoxy-&alpha;-D-glucose biosynthesis
PWY-7184	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I
PWY-6700	queuosine biosynthesis I (<i>de novo</i>)
PWY-8493	L-homotyrosine biosynthesis
PWY-2781	<i>cis</i>-zeatin biosynthesis
PWY-5936	xyloglucan biosynthesis
PWY-7354	aclacinomycin biosynthesis
PWY-8319	NiFe(CO)(CN)<sub>2</sub> cofactor biosynthesis
PWY2G6Z-2	lipid IV<sub>A</sub> biosynthesis (<i>Vibrio cholerae</i> serogroup O1 El Tor)
PWY-581	indole-3-acetate biosynthesis II
PWY-5358	tetrathionate reduction I (to thiosulfate)
PWY-6015	vitexin and derivatives biosynthesis
PWY-723	alkylnitronates degradation
PWY-2345	genistein conjugates interconversion
PWY-5474	hydroxycinnamic acid tyramine amides biosynthesis
PWY-1881	formate oxidation to CO<sub>2</sub>
PWY-1622	formaldehyde assimilation I (serine pathway)
PWY-5756	saponin biosynthesis II
PWY-5748	&gamma;-coniciene and coniine biosynthesis
PWY66-428	L-threonine degradation V
PWY-7189	pinocembrin <i>C</i>-glucosylation
PWY18C3-12	superpathway of acylsucrose biosynthesis (cultivated tomato)
PWY-7209	superpathway of pyrimidine ribonucleosides degradation
PWY-7102	bisabolene biosynthesis (engineered)
PWY-8075	(Kdo)<sub>2</sub>-lipid A biosynthesis (<i>P. putida</i>)
PWY-5506	methanol oxidation to formaldehyde IV
PWY-7423	bombykol biosynthesis
PWY-8489	bacillaene biosynthesis
PWY-6976	dTDP-&beta;-L-mycarose biosynthesis
PWY-8269	methylarsonous acid detoxification III
PWY-6805	cellulose degradation I (cellulosome)
PWY185E-7	lipoarabinomannan biosynthesis
PWY-6109	mangrove triterpenoid biosynthesis
PWY-7558	&alpha;-cyclopiazonate detoxification
TOLSULFDEG-PWY	4-toluenesulfonate degradation I
PWY-7857	adlupulone and adhumulone biosynthesis
PWY-7032	alkane biosynthesis I
PWY-6673	caffeoylglucarate biosynthesis
2ASDEG-PWY	orthanilate degradation
PWY-8162	phenylethanol degradation
SALVPURINE2-PWY	xanthine and xanthosine salvage
PWY-8262	roxarsone (and nitarsone) degradation III
PWY-7300	ecdysone and 20-hydroxyecdysone biosynthesis
PWY-5196	factor 430 biosynthesis
PWY-6662	superpathway of quinolone and alkylquinolone biosynthesis
PWY-7618	ricinoleate biosynthesis
PWY-7118	chitin deacetylation
PWY-6794	adenosine 5'-phosphoramidate biosynthesis
PEPTIDOGLYCANSYN-PWY	peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing)
PWY-6533	aniline degradation
PWY-6899	base-degraded thiamine salvage
ANAEROFRUCAT-PWY	homolactic fermentation
PWY-6342	noradrenaline and adrenaline degradation
PWY-7155	7-dehydroporiferasterol biosynthesis
PWY-8260	roxarsone degradation I
PWY-8007	staphylopine biosynthesis
PWY-6098	diploterol biosynthesis
PWY-8055	palmitoyl ethanolamide biosynthesis
PWY-5738	GDP-6-deoxy-D-talose biosynthesis
PWY-8241	<i>Escherichia coli</i> serotype O:71/<i>Salmonella enterica</i> serotype O:28ac O antigen biosynthesis
PWY-6483	ceramide degradation (generic)
PWY-7815	poly(ribitol phosphate) wall teichoic acid biosynthesis I (<i>B. subtilis</i>)
PWY-5355	nitroethane degradation
PWY-5782	2-keto-L-gulonate biosynthesis
PWY-5427	naphthalene degradation (aerobic)
PWY-7366	phosphatidylglycerol degradation
PWY0-1517	sedoheptulose bisphosphate bypass
PWY-6409	pyoverdine I biosynthesis
PWY-2464	(-)-maackiain biosynthesis
PWY-6894	thiamine diphosphate biosynthesis I (E. coli)
LIPA-CORESYN-PWY	lipid A-core biosynthesis (<i>E. coli</i> K-12)
PWY-5114	UDP-sugars interconversion
PWY-2762	glyceollin biosynthesis
PWY-5924	limonene degradation II (L-limonene)
PWY-6969	TCA cycle V (2-oxoglutarate synthase)
PWY-8117	colibactin biosynthesis
PWY-3385	choline biosynthesis I
PWY-6520	nonaprenyl diphosphate biosynthesis II
PWY-6064	methylquercetin biosynthesis
PWY-7976	sulfur reduction III
PWY2G6Z-4	lipid A modification (glycine addition, <i>Vibrio cholerae</i>)
PWY-7788	erythritol degradation II
PWY-5910	superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)
PWY-5292	vindoline, vindorosine and vinblastine biosynthesis
TRPIAACAT-PWY	indole-3-acetate biosynthesis VI (bacteria)
PWY3O-440	pyruvate fermentation to acetoin
PWY-5386	methylglyoxal degradation I
PWY-7894	procollagen hydroxylation and glycosylation
PWY-5306	superpathway of thiosulfate metabolism (<i>Desulfovibrio sulfodismutans</i>)
PWY-5024	L-arginine degradation XI
PWY-5359	tetrathionate reductiuon II (to trithionate)
PWY-6913	methylbutenol biosynthesis
CENTFERM-PWY	pyruvate fermentation to butanoate
PWY-7468	benzoyl-&beta;-<i>D</i>-glucopyranose biosynthesis
PWY-6807	xyloglucan degradation II (exoglucanase)
PWY-7570	blasticidin S biosynthesis
P283-PWY	hydrogen oxidation I (aerobic)
PWY-8518	cyan fluorescent protein chromophore biosynthesis
PWY-7515	<i>trans</i>-3-hydroxy-L-proline degradation
PWY-5951	(<i>R,R</i>)-butanediol biosynthesis
PWY-7472	D-carnitine degradation II
GLNSYN-PWY	L-glutamine biosynthesis I
PWY-7100	spinosyn biosynthesis
PWY3O-4108	L-tyrosine degradation III
PWY-5310	superpathway of anthocyanin biosynthesis (from delphinidin 3-<i>O</i>-glucoside)
PWY-6494	gibberellin inactivation III (epoxidation)
PWY-7621	autoinducer CAI-1 biosynthesis
PWYQT-4477	indole glucosinolate activation (intact plant cell)
PWY-7346	UDP-&alpha;-D-glucuronate biosynthesis (from UDP-glucose)
COBALSYN-PWY	superpathway of adenosylcobalamin salvage from cobinamide I
PWY-5265	peptidoglycan biosynthesis II (staphylococci)
PWY-8000	vitamin K degradation
PWY-5885	wax esters biosynthesis II
PWY-6861	the visual cycle I (vertebrates)
PWY-5994	palmitate biosynthesis I (type I fatty acid synthase)
PWY-5361	(5<i>Z</i>)-icosenoate biosynthesis
PWY-8232	<i>Shigella boydii</i> serotype 6 O antigen biosynthesis
ILEUDEG-PWY	L-isoleucine degradation I
GLUAMCAT-PWY	<i>N</i>-acetylglucosamine degradation I
PWY8J2-22	kanosamine biosynthesis II
PWY-5672	ginsenosides biosynthesis
PWY-5453	methylglyoxal degradation III
PWY-5295	ternatin C5 biosynthesis
PWY-6214	3-chlorocatechol degradation III (<i>meta</i> pathway)
PWY-5032	<i>ent</i>-kaurene biosynthesis I
PWY-5272	abscisic acid degradation by glucosylation
PWY-6038	citrate degradation
PWY-7140	myricetin gentiobioside biosynthesis
PWY-5691	urate conversion to allantoin I
GLYCINE-SYN2-PWY	glycine biosynthesis II
PWY66-381	glucocorticoid biosynthesis
FUC-RHAMCAT-PWY	superpathway of fucose and rhamnose degradation
PWY-8363	photorespiration III
PWY-7620	naphthalene degradation (anaerobic)
PWY-6441	spermine and spermidine degradation III
PWY-7937	fungal bioluminescence
PWY0-781	aspartate superpathway
PWY-8110	L-dopa degradation II (bacterial)
PWY-6431	4-hydroxybenzoate biosynthesis IV (plants)
PWY-5996	oleate biosynthesis II (animals and fungi)
PWY-6217	3,4-dichlorobenzoate degradation
PWY-7351	pyruvate-derived opine biosynthesis II (marine invertebrates)
MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	protein <i>N</i>-glycosylation initial phase (eukaryotic)
PWY2DNV-11	tetrahydrofolate biosynthesis II
PWY-5075	L-leucine degradation II
CITRULBIO-PWY	L-citrulline biosynthesis
PWY0-1576	hydrogen to fumarate electron transfer
PWY-7352	daunorubicin biosynthesis
PWY66-432	blood coagulation - tissue factor pathway
PWY-8411	representative whole plasma arachidonate-derived icosanoids II
PWY-8475	serotonin and melatonin biosynthesis II
PWY-6958	icosapentaenoate biosynthesis I (lower eukaryotes)
PWY-5490	paraoxon degradation
PWY-6265	zerumbone biosynthesis
PWY-5160	rose anthocyanin biosynthesis I (via cyanidin 5-<i>O</i>-&beta;-<i>D</i>-glucoside)
PWY-8141	9-decynoate biosynthesis
PWY-7331	UDP-<i>N</i>-acetyl-&beta;-L-quinovosamine biosynthesis
PWY-5903	bacillibactin biosynthesis
PWY-6832	2-aminoethylphosphonate degradation II
PWY-8145	cytochrome <i>c</i> biogenesis (system III type)
PWY-5838	superpathway of menaquinol-8 biosynthesis I
PWY-5899	superpathway of menaquinol-13 biosynthesis
PWY-5174	capsanthin and capsorubin biosynthesis
PWY-82	UDP-&beta;-L-arabinose biosynthesis II (from &beta;-L-arabinose)
PWY66-382	mineralocorticoid biosynthesis
PWY-7595	stearidonate biosynthesis (cyanobacteria)
DESULFONATION-PWY	benzenesulfonate degradation
PWY-8286	carbofuran degradation I
PWY-8131	5'-deoxyadenosine degradation II
PWY-6348	phosphate acquisition
PWY-6499	D-glucarate degradation II
PWY-7756	iso-bile acids biosynthesis II
PWY-6193	3-chlorocatechol degradation II (<i>ortho</i>)
PWY-8343	leinamycin biosynthesis
PWY-8157	avenanthramide biosynthesis
PWY-7166	kaempferide triglycoside biosynthesis
PWY-8324	D-tagatose degradation
PWY0-862	(5Z)-dodecenoate biosynthesis I
PWY-5390	rutin biosynthesis
PWY4FS-17	abscisic acid biosynthesis shunt
PWY-8230	<i>Salmonella enterica</i> serotype O:13 O antigen biosynthesis
PWY-7260	delphinidin diglucoside biosynthesis (acyl-glucose dependent)
PWY-6316	aromatic polyketides biosynthesis
PWY2OL-4	superpathway of linalool biosynthesis
PWY-7835	superpathway of glycosphingolipids biosynthesis
PWY-7704	viridicatin biosynthesis
GLYCOL-GLYOXDEG-PWY	superpathway of glycol metabolism and degradation
PWY-7723	bacterial bioluminescence
PWY-5850	superpathway of menaquinol-6 biosynthesis
PWY-7946	sarcinaxanthin diglucoside biosynthesis
PWY-7644	heparin degradation
PWY-7932	polybrominated biphenyls and diphenyl ethers biosynthesis
PWY-7299	progesterone biosynthesis
PWY-5957	L-nicotianamine biosynthesis
PWY-6286	spheroidene and spheroidenone biosynthesis
PWY-6792	scopoletin biosynthesis
PWY-8140	serine racemization
PWY-6836	santalene biosynthesis II
PWY-8226	<i>Escherichia coli</i> serotype O:152 O antigen biosynthesis
PWY-6107	chlorosalicylate degradation
PWY-7049	icosapentaenoate biosynthesis II (6-desaturase, mammals)
PWY-5209	methyl-coenzyme M oxidation to CO<sub>2</sub> I
PWY-5189	uroporphyrinogen-III II (from glycine)
PWY-1782	superpathway of indole-3-acetate conjugate biosynthesis
PWY-7007	methyl ketone biosynthesis (engineered)
PWY-6682	dehydrophos biosynthesis
PWY-8246	Kdo transfer to lipid IV<sub>A</sub> (<i>P. gingivalis</i>)
GLUCOSE1PMETAB-PWY	glucose and glucose-1-phosphate degradation
PWY-5084	2-oxoglutarate decarboxylation to succinyl-CoA
PWY-5942	<i>trans</i>-lycopene biosynthesis I
